"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @IMundebo: #Christmas in the #WhiteHouse is a very traditional thing.
#DonaldTrump and #Melania calling their lawyers in front of the fi…",FALSE,0,NA,2020-12-06 23:34:55,FALSE,NA,"1335729464869855232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","62WalterP",9,TRUE,FALSE,NA,NA
"2","@Forecast432hz Our President #DonaldTrump❤️#FourMoreYears",FALSE,0,"Forecast432hz",2020-12-06 23:34:36,FALSE,"1335729190847524866","1335729383164801024","1185669084903624706","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","awake_we_are",0,FALSE,FALSE,NA,NA
"3","@realTrumpForce YES SIR #DonaldTrump",FALSE,0,"realTrumpForce",2020-12-06 23:33:47,FALSE,"1335684690297188354","1335729176792469504","963297229","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ricarcol2014",0,FALSE,FALSE,NA,NA
"4","Oh no, Rudy has Covid! Who will continue Trump's legal losing streak? Time to call Jacoby &amp; Myers.

#RudyGiuliani… https://t.co/aXobjYdkAc",FALSE,0,NA,2020-12-06 23:33:40,TRUE,NA,"1335729148816404484",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavinComedy",0,FALSE,FALSE,NA,NA
"5","I always feel like we on the right are more easy going, willing to debate and learn while the left just doesn’t see… https://t.co/RjoFe21jC0",FALSE,0,NA,2020-12-06 23:32:32,TRUE,NA,"1335728864568487939",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gamer_liko",0,FALSE,FALSE,NA,NA
"6","RT @Roadmaster1253: ITS THE #TrumpVirus DONALD TRUMP LIED TO THE AMERICAN PEOPLE COVERED UP THE SERIOUSNESS OF #CORONAVIRUS #COVID19  AND D…",FALSE,0,NA,2020-12-06 23:31:53,FALSE,NA,"1335728701066145793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Roadmaster1253",1,TRUE,FALSE,NA,NA
"7","RT @silverbract: #DonaldTrump, the #LoserInChief, seen here trying to stop #REALITY! https://t.co/iD7iiTW4Xg",FALSE,0,NA,2020-12-06 23:29:15,FALSE,NA,"1335728039154446336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","silverbract",2,TRUE,FALSE,NA,NA
"8","#DonaldTrump is an evil man who will, one day, be welcome by the devil in the worst part of hell.
He and stumbling… https://t.co/g0DzE56QvK",FALSE,0,NA,2020-12-06 23:28:57,TRUE,NA,"1335727963887775752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClarenceFerrel8",0,FALSE,FALSE,NA,NA
"9","RT @HenockYebyo: Erik Prince masterminds #UAE's mercenary mission to Tigray, backing #AbiyAhmedAli &amp; #IsaiasAfeworki. #DonaldTrump administ…",FALSE,0,NA,2020-12-06 23:28:42,FALSE,NA,"1335727898964201475",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeklaiE",37,TRUE,FALSE,NA,NA
"10","ITS THE #TrumpVirus DONALD TRUMP LIED TO THE AMERICAN PEOPLE COVERED UP THE SERIOUSNESS OF #CORONAVIRUS #COVID19  A… https://t.co/pC6rciPFxy",FALSE,1,NA,2020-12-06 23:28:37,TRUE,NA,"1335727878714109967",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Roadmaster1253",1,FALSE,FALSE,NA,NA
"11","#DonaldTrump says #RudyGiuliani has tested positive for the #CoronaVirus; while I don't wish #COVID19 on anyone, I… https://t.co/pUMwQL8YmT",FALSE,0,NA,2020-12-06 23:28:25,TRUE,NA,"1335727828571201536",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","paulinepark",0,FALSE,FALSE,NA,NA
"12","former #PresidentBillClinton spent his final days attempting to bring #Israel &amp; #Palestine together at the 2000… https://t.co/CE9R3fmdMU",FALSE,0,"Kegan05",2020-12-06 23:28:12,TRUE,"1335727772526731265","1335727774460379136","21906070","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kegan05",0,FALSE,FALSE,NA,NA
